Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categor�a,Provincia,Departamento,Localidad,Nombre,Direcci�n,Piso,Cod_postal,Cod_area,Telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Fuente,Tipo_gestion,hora_apertura,hora_cierre
30049040,30,30049,,Salas de cine,Entre R�os,Gualeguay,Gualeguay,Altos Del Gualeguay,Rocamora 33,s/d,2840,3444,453306,legales@nefroargentina.com.ar,https://www.facebook.com/pg/CineAltosDeGualeguay/about/?ref=page_internal,-33.15032300,-59.31160900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,20
38094050,38,38094,,Salas de cine,Jujuy,Tilcara,Tilcara,Barbarita Cruz,Belgrano 547,s/d,4624,388,4955462,musica@imagine.com.ar,https://capectilcara.com/,-23.57710500,-65.39396100,Localizaci�n precisa,INCAA / SInCA,Privado independiente,11,19
38021060,38,38021,,Salas de cine,Jujuy,Dr. Manuel Belgrano,San Salvador de Jujuy,Cine Auditorium,Independencia Esq. Italia S/N,s/d,4600,388,4632908,cineauditoriumjujuy@gmail.com,https://www.facebook.com/CineAuditoriumJujuyINCAAMercosur/,-24.18725200,-65.29285100,Localizaci�n precisa,INCAA / SInCA,Otros,11,23
42007010,42,42007,,Salas de cine,La Pampa,Atreuco,Doblas,Centro Cultural Doblas,Cordoba 670,s/d,6305,2953,492102,culturaydeportedoblas@cosedo.com.ar,s/d,-37.15213900,-64.01129800,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,11,21
42021020,42,42021,,Salas de cine,La Pampa,Capital,Santa Rosa,Milenium,Escalante 270,s/d,6300,295,4773833,cineamadeus@yahoo.com.ar,https://www.facebook.com/pages/Cine-Milenium/321221581543378,-36.62312200,-64.29479700,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,21
46042010,46,46042,,Salas de cine,La Rioja,Chilecito,Chilecito,Cinema,La Plata Y 19 De Febrero,s/d,5360,380,4626907,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/,-29.16301100,-67.49568800,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,20
54077060,54,54077,,Salas de cine,Misiones,Libertador Grl. San Martin,Puerto Rico,Cine Teatro Municipal San Martin,Av. San Martin 1474,s/d,3334,3743,422400,cultura.puertoricomnes@gmail.com,https://www.facebook.com/Cine-Teatro-San-Martin-Puerto-Rico-Misiones-611780998973270/,-26.81182100,-55.02552000,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,10,19
54063030,54,54063,,Salas de cine,Misiones,Iguazu,Puerto Iguaz�,Cine Panoramic Grand,Paraguay 372,s/d,3370,3757,498100,s/d,http://www.panoramicgrand.com,-25.59339300,-54.57574400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,22
54028030,54,54028,,Salas de cine,Misiones,Capital,Posadas,Del Conocimiento,Ruta 12 Y Acceso Oeste (Av. Ulises Lopez),s/d,3300,3764,191010,info@imaxdelconocimiento.com,https://www.parquedelconocimiento.com/,-27.39619800,-55.96347700,Localizaci�n precisa,INCAA / SInCA,P�blico provincial,11,17
66049040,66,66049,,Salas de cine,Salta,General Guemes,General Guemes,Centro Cultural 13 De Febrero,20 De Febrero Esq. Gorriti,s/d,4430,3874,496276,cine13defebrero2013@outlook.com,https://www.facebook.com/Centro-Cultural-13-de-Febrero-Cine-teatro-962533320483179/,-24.67630300,-65.04589500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,16
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,El Teatrino,Aniceto Latorre 1211,s/d,4400,387,4228904,industriaculturalsrl@gmail.com,http://www.elteatrino.com/,-24.77323200,-65.41786400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,21
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Cinemark,Av. Monse�or Tavella 4400,s/d,4400,s/d,57771000,lventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar,-24.83230200,-65.42845800,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,19
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Fundaci�n Salta,General Guemes 434,s/d,4400,387,4320481,correofundacionsalta@gmail.com,http://www.distritoteatralsalta.com/espacio/teatro-de-la-fundacion-salta/,-24.78657400,-65.40845100,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,17
70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,Espacio San Juan,Av. Jose Ignacio De La Roza Oeste 806,s/d,5417,264,4238611,cpohl@cpmcines.com,http://www.espaciosanjuan.com/,-31.53987100,-68.57283900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,17
74049060,74,74049,,Salas de cine,San Luis,Junin,Merlo,Cinestar,Av. Del Sol 1120,s/d,5881,2664,475660,campos_horacio@yahoo.com.ar,https://www.facebook.com/CineStarMerlo/,-32.34699100,-64.99821400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,17
74056150,74,74056,,Salas de cine,San Luis,La Capital,San Luis,Municipal Jos� La V�a,Av. Lafinur Y Av. Illia S/N,s/d,5700,2664,403539,elartenlaescuela@gmail.com,https://www.ciudaddesanluis.gov.ar/,-33.29922000,-66.34784600,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,13,22
78021040,78,78021,,Salas de cine,Santa Cruz,Guer Aike,R�o Gallegos,Cine Rio Gallegos,Av. Nestor Kirchner 1142,s/d,9400,2966,423753,socin@hotmail.com,http://www.cineriogallegos.com.ar/,-51.61991700,-69.21873500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,22
78049020,78,78049,,Salas de cine,Santa Cruz,Rio Chico,Gobernador Gregores,Cine Municipal,Av. San Martin 514,s/d,9311,2962,491228,s/d,http://www.santacruz.gob.ar,-48.75080100,-70.24660500,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,13,16
86147130,86,86147,,Salas de cine,Santiago del Estero,Rio Hondo,Termas de R�o Hondo,Atlas Cine,Bolivar 15,s/d,4220,11,55290375,rabdenur@gmail.com,http://www.santacruz.gob.ar,-27.49683800,-64.85833000,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,23
86119100,86,86119,,Salas de cine,Santiago del Estero,Moreno,Quimili,Cine Teatro,Rivadavia 553,s/d,3740,3843,402187,sixtomadiaz@hotmail.com,https://www.municipalidaddequimili.gob.ar/,-27.64448600,-62.41379900,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,9,19
90084010,90,90084,,Salas de cine,Tucum�n,Capital,San Miguel de Tucum�n,Atlas Cine,Av. Brigido Teran 250,s/d,4000,11,55290375,rabdenur@gmail.com,cineatlasweb.com.ar,-26.83470100,-65.19405900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,16
82049020,82,82049,,Salas de cine,Santa Fe,General Obligado,Avellaneda,Luna De Avellaneda,Av. San Martin 810,s/d,3561,3482,598468,gscarel@estudioscarel.com.ar,http://www.cinelunadeavellaneda.com,-29.11806100,-59.65485300,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,16
82070050,82,82070,,Salas de cine,Santa Fe,Las Colonias,Esperanza,E-Max Cines,Brigadier Lopez 1471,s/d,3080,3496,420947,martin739@gmail.com,http://www.e-max.com.ar,-31.45082600,-60.89548300,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,20
82021310,82,82021,,Salas de cine,Santa Fe,Castellanos,Rafaela,Las Tipas Boulevard,C. Conscripto Zurbriggen 865,s/d,2300,3562,405750,admin@lastipasboulevard.com.ar,www.lastipasrafaela.com.ar/,-31.24256700,-61.50531900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,19
82063170,82,82063,,Salas de cine,Santa Fe,La Capital,Santa Fe,Centro Cultural Prov. Francisco Paco Urondo,Junin 2457,s/d,3000,342,4573735,cencultu@yahoo.com.ar,https://es-la.facebook.com/ccpacourondo/,-31.63919600,-60.70297400,Localizaci�n precisa,INCAA / SInCA,P�blico provincial,12,17
82021360,82,82021,,Salas de cine,Santa Fe,Castellanos,Sunchales,Auditorio,Ruta 34 Km 262,s/d,2322,3493,454542,infocet@atilra.org.ar,https://www.ate.org/listado_agenda/seccion/3/zona/26/cine-auditorio-ate.html,-30.92993400,-61.54663700,Localizaci�n precisa,INCAA / SInCA,Privado independiente,9,18
50049050,50,50049,,Salas de cine,Mendoza,Las Heras,Las Heras,Tadicor Las Heras,Juan Dragui Lucero 1450,s/d,5539,351,4864350,pcavallero@tadicor.com,http://www.tadicor.com/Cines.php,-32.85318900,-68.80814800,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,16
50098100,50,50098,,Salas de cine,Mendoza,San Martin,San Mart�n,Tadicor San Martin,Lateral Sur Ruta Nacional 7 Sin Nro,s/d,5570,351,4864350,pcavallero@tadicor.com,htpp:/www.tadicor.com secci�n cines ,-32.85346800,-68.80818400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,17
14182060,14,14182,,Salas de cine,C�rdoba,Union,Bell Ville,Sudcinemas,Mitre 61,s/d,5900,353,422337,sudcinemas@arnetbiz.com.ar,http://sudcinemas.com.ar/cine-wp/cine/bellville/,-32.63018200,-62.68662800,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,16
14014010,14,14014,,Salas de cine,C�rdoba,Capital,C�rdoba,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,s/d,5014,3515,261500,s/d,https://www.cinesdinomall.com.ar/,-31.45539200,-64.13979900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,17
14098110,14,14098,,Salas de cine,C�rdoba,Rio Cuarto,Elena,Cine Teatro Coop Luz Y Fuerza,Mitre 31,s/d,5815,358,4881249,rboatti@coopluzelena.com.ar,"https://www.facebook.com � Places � Elena> Cordoba> Argentina � Movie Theater",-32.57161200,-64.39332900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,21
14161110,14,14161,,Salas de cine,C�rdoba,Tercero Arriba,Oliva,Cine Cooperativo,Colon 301,s/d,5980,3532,410000,administracion@coop-oliva.com.ar / sofia santolin@coop-oliva,http://coop-oliva.com.ar/,-32.03940300,-63.57042500,Localizaci�n precisa,INCAA / SInCA,Privado comunitario ,11,17
14098230,14,14098,,Salas de cine,C�rdoba,Rio Cuarto,R�o Cuarto,Cines Del Paseo,Av. Mugnaini Y Sobremonte,s/d,5800,358,4621235,riocuarto@cinesdelpaseo.com.ar,http://cba.gov.ar,-33.11805300,-64.34656900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,20
14098230,14,14098,,Salas de cine,C�rdoba,Rio Cuarto,R�o Cuarto,Centro Cultural Leonardo Favio,Buenos Aires 55,s/d,5800,358,4676836,gamolayoli@hotmail.com,http://www.cba.gov.ar/,-33.12430600,-64.34916600,Localizaci�n precisa,INCAA / SInCA,P�blico provincial,12,22
14021250,14,14021,,Salas de cine,C�rdoba,Colon,Salsipuedes,Dinosaurio Mall,Av. Sarmiento 1007,s/d,5113,3515,261500,cluduena@grupodinosaurio.com,http://www.cinesdinomall.com.ar,-31.12682800,-64.29602300,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,18
14014010,14,14014,,Salas de cine,C�rdoba,Capital,Villa Rivera Indarte,Sunstar,Ricardo Rojas 9200,s/d,5008,3543,446300,gerente.cordoba@cinesunstar.com,http://www.cinesunstar.com/,-31.33576500,-64.28974600,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,21
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Centro Cultural Rector Ricardo Rojas,Av. Corrientes 2038,s/d,1045,s/d,49535405,gabriel.guralnik@gmail.com,http://www.rojas.uba.ar/,-34.60468200,-58.39595400,Localizaci�n precisa,INCAA / SInCA,P�blico nacional,13,17
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Atlas Cine,Av. Del Libertador 750,s/d,1001,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,-34.58809500,-58.38348500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,17
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,s/d,1425,s/d,48034062,fwhite@aamnba.org.ar,https://www.facebook.com/pg/amigosdelbellasartes/about/?ref=page_internal,-34.58351100,-58.39268600,Localizaci�n precisa,INCAA / SInCA,Privado independiente,9,20
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Cine Teatro Gran Rivadavia,Av. Rivadavia 8636,s/d,1407,s/d,46741300,paula@granrivadavia.com.ar,http://www.granrivadavia.com.ar/inicio/,-34.63481900,-58.48535900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,21
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Atlas Cine,Jeronimo Salguero 3172,s/d,1425,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,-34.57538500,-58.40399700,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,17
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Hoyts,Melian 4880,s/d,1430,s/d,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,-34.54634400,-58.48843500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,17
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Cinain,Moreno 1199,s/d,1091,s/d,43836432,fernandomadedo@cinain.gob.ar,http://cinain.gob.ar/,-34.61199700,-58.38319400,Localizaci�n precisa,INCAA / SInCA,P�blico nacional,10,17
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Cinema Devoto,Quevedo 3365,s/d,1417,s/d,40196019,mlopez@cinemadevoto.com.ar,https://cinemadevoto.com.ar/,-34.61165800,-58.51692800,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,19
02000010,02,02000,,Salas de cine,Ciudad Aut�noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Aut�noma de Buenos Aires,Centro Cultural Borges,Viamonte 525,Piso 3,1005,s/d,55555358,dpetchersky@yahoo.com.ar,https://www.ccborges.org.ar/,-34.59972400,-58.37455900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,18
06882050,06,06882,,Salas de cine,Buenos Aires,Zarate,Zarate,Cine Teatro Coliseo,19 De Marzo 314,s/d,2800,11,65992021,maquintero78@gmail.com,https://es-la.facebook.com/ZarateCineTeatroColiseo/,-34.09752900,-59.02214500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,20
06441030,06,06441,,Salas de cine,Buenos Aires,La Plata,La Plata,Cine Municipal Ecoselect,19 Y 51,Piso 2,1900,221,4248733,cineylocacioneslaplata@gmail.com,http://www.cultura.laplata.gov.ar,-34.92654600,-57.96157700,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,10,19
06357110,06,06357,,Salas de cine,Buenos Aires,General Pueyrredon,Mar del Plata,Cinemacenter,Alberti 1610,s/d,7600,11,52180400,gzamora@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,-38.01162000,-57.54293900,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,16
06714060,06,06714,,Salas de cine,Buenos Aires,Salto,Salto,Cervantes,Alvear 65,s/d,2741,2474,551096,j.burgos.ceres@hotmail.com,http://saltoyvos.com/tag/cine_cervantes/,-34.29298600,-60.25526400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,16
06035010,06,06035,,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Village,Autopista Bs. As. - La Plata Km 6,s/d,1870,s/d,51282828,village.avellaneda@village.com.ar,http://facebook.com/cinecervantes3d,-34.68020600,-58.33277700,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,23
06035010,06,06035,,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Carlos Carella,Av. Galicia 401,s/d,1870,11,37608002,edulabce@hotmail.com,www.unica-cartelera.com.ar/teatros/259-sala-carlos-carella,-34.67374800,-58.38670200,Localizaci�n precisa,INCAA / SInCA,Privado comercial,12,17
06490010,06,06490,,Salas de cine,Buenos Aires,Lomas de Zamora,Lomas de Zamora,Cine Teatro Espa�ol Lomas De Zamora,Av. Hipolito Yrigoyen 9070,s/d,1832,s/d,42430381,lomasteatroespanol@gmail.com,https://www.facebook.com/cineteatroespanol/,-34.76125100,-58.40263100,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,12,22
06539010,06,06539,,Salas de cine,Buenos Aires,Merlo,San Antonio de Padua,Village,Av. Juan Domingo Peron 24056,s/d,1718,s/d,51688888,village.merlo@village.com.ar,https://www.villagecines.com/,-34.66661000,-58.70290200,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,18
06840010,06,06840,,Salas de cine,Buenos Aires,Tres de Febrero,Santos Lugares,Cine Teatro Ocean,Av. La Plata 3530,s/d,1676,s/d,47579861,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/noticias/cultura-y-educacin/reinauguracion-del-cine-teatro-ocean/,-34.60130100,-58.54387300,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,13,18
06014010,06,06014,,Salas de cine,Buenos Aires,Adolfo Gonzales Chaves,Gonzales Chaves,Cine Coliseo,Av. San Martin 235,Piso 1,7513,2983,481740,sespagch@hotmail.com,https://www.facebook.com/pg/ZarateCineTeatroColiseo/about/?ref=page_internal,-38.03123200,-60.09603700,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,21
06105060,06,06105,,Salas de cine,Buenos Aires,Bolivar,Bolivar,Mar�a Esther Chiquita Dome�o,Av. San Martin 642,s/d,6550,2314,480184,analia.carbajo@live.com,s/d,-36.23122400,-61.11336700,Localizaci�n precisa,INCAA / SInCA,Privado comunitario ,13,21
06861010,06,06861,,Salas de cine,Buenos Aires,Vicente Lopez,Munro,Centro Cultural Municipal Munro,Av. Velez Sarsfield 4650,s/d,1605,s/d,47971162,york.cultura@vicentelopez.gov.ar,https://www.vicentelopez.gov.ar/modernizacion/punto-de-interes/3-centro-cultural-munro,-34.53037200,-58.52388400,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,12,23
06408010,06,06408,,Salas de cine,Buenos Aires,Hurlingham,Hurlingham,Centro Cultural Leopoldo Marechal,Av. Vergara 2396,s/d,1686,s/d,s/d,s/d,https://www.facebook.com/pages/Centro-Cultural-Leopoldo-Marechal-Hurlingham/297621827101262,-34.57671600,-58.64197100,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,12,18
06525020,06,06525,,Salas de cine,Buenos Aires,Marcos Paz,Marcos Paz,Cine Teatro Roma,Avellaneda 1950,s/d,1727,220,4776523,cine@marcospaz.gov.ar,https://www.facebook.com/pg/cinemarcospaz/about/?ref=page_internal,-34.78122200,-58.83862300,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,13,16
06371010,06,06371,,Salas de cine,Buenos Aires,General San Martin,Villa Ballester,Jos� Hern�ndez,Balcarce 2973,s/d,1653,s/d,47675752,soteras_jh_am@hotmail.com,https://www.facebook.com/pg/CineTeatroSalaJoseHernandez/about/?ref=page_internal,-34.55065800,-58.55834000,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,21
06568010,06,06560,,Salas de cine,Buenos Aires,Moreno,El Palomar,Cine Teatro Helios,Boulevard San Martin 3076,s/d,1684,s/d,47518647,produccion@cineteatrohelios.com.ar,https://www.cinesargentinos.com.ar/horarios/c:733:cine-teatro-helios/,-34.60392100,-58.59290400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,22
06441030,06,06441,,Salas de cine,Buenos Aires,La Plata,La Plata,Taller De Teatro - UNLP,Calle 10 1076,s/d,1900,221,6239105,proyeccionesterrestres@gmail.com,https://www.facebook.com/pg/Clases-de-Teatro-La-Plata-124851047580248/about/?ref=page_internal,-34.91982400,-57.94985300,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,18
06063010,06,06063,,Salas de cine,Buenos Aires,Balcarce,Balcarce,Cine Paris Balcarce,Calle 18 684,s/d,7620,2266,421703,complejoparis1@gmail.com,https://web.ultracine.com/nueva-sala-cine-paris-de-balcarce/,-37.84856700,-58.25622500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,17
06294050,06,06294,,Salas de cine,Buenos Aires,General Arenales,General Arenales,Cine Teatro Roma,Castelli 152,s/d,6005,2353,460583,mutualafc@yahoo.com.ar,https://www.facebook.com/pages/Cine-Teatro-Roma-General-Arenales/286484061815736,-34.30384600,-61.30852500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,11,21
06420020,06,06420,,Salas de cine,Buenos Aires,La Costa,San Bernardo,Cine Teatro Arenas,Chiozza 1776,s/d,7111,2257,460050,s/d,https://www.facebook.com/pg/Cine-Teatro-Arenas-3D-San-Bernardo-309783435805259/about/?ref=page_internal,-36.69927800,-56.67743400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,9,16
06595070,06,06595,,Salas de cine,Buenos Aires,Olavarria,Olavarr�a,Cine Paris,General Paz 2720,s/d,7400,2284,417751,complejoparis1@gmail.com,http://www.cineparis.com.ar,-36.89403900,-60.32394400,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,16
06042010,06,06042,,Salas de cine,Buenos Aires,Ayacucho,Ayacucho,Hugo Del Carril,Irigoyen 941,s/d,7150,2296,454949,isaiasalga�araz@gmail.com,https://www.facebook.com/pages/category/Government-Organization/Direcci%C3%B3n-de-Cultura-Ayacucho-1677928362483344/,-37.15258200,-58.48596600,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,11,18
06413050,06,06413,,Salas de cine,Buenos Aires,Junin,Jun�n,Tu Cine,Jorge Newbery 263,s/d,6000,2364,422299,condor@dimarcointernacional.com,http://www.tucine.com.ar,-34.58354600,-60.94538700,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,18
06861010,06,06861,,Salas de cine,Buenos Aires,Vicente Lopez,Olivos,Centro Cultural York,Juan Bautista Alberdi 895,s/d,1636,s/d,47119213,york.cultura@vicentelopez.gov.ar,https://www.facebook.com/cineteatroyorkolivos,-34.50771500,-58.48496200,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,9,23
06568010,06,06568,,Salas de cine,Buenos Aires,Moron,Mor�n,Hoyts,Juan Manuel De Rosas 658,s/d,1744,s/d,54441000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,-34.63496800,-58.62930500,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,19
06638040,06,06638,,Salas de cine,Buenos Aires,Pilar,Pilar,Multiplex,Las Magnolias 754,Piso 1,1629,230,4384812,ssomma@cinesmultiplex.com.ar,https://www.multiplex.com.ar/,-34.44706700,-58.86709800,Localizaci�n precisa,INCAA / SInCA,Privado comercial,10,23
06497060,06,06497,,Salas de cine,Buenos Aires,Lujan,Luj�n,Cinema Rosso,Lavalle 410,s/d,6700,2323,423954,cinema-rosso@hotmail.com,www.cinemarossolujan.com/,-34.56415200,-59.11585200,Localizaci�n precisa,INCAA / SInCA,Privado comercial,13,23
06588100,06,06588,,Salas de cine,Buenos Aires,9 de Julio,9 de Julio,El Cine De La Biblioteca,Mendoza Y San Martin 991,s/d,6500,2317,457354,waltermarini@msn.com,https://www.facebook.com/bibliotecapopularjingenieros/about/,-35.44491400,-60.88791200,Localizaci�n precisa,INCAA / SInCA,Privado comunitario ,12,16
06658010,06,06658,,Salas de cine,Buenos Aires,Quilmes,Quilmes,Cine Teatro Municipalidad De Quilmes,Mitre 721,s/d,1878,s/d,42532213,incaaquilmes@gmail.com,https://www.facebook.com/INCAAQuilmes/,-34.72256600,-58.25320100,Localizaci�n precisa,INCAA / SInCA,P�blico municipal,9,22
